time_taken,net_power
15.567,-431.8
15.616,-1058.2
15.334,-556.08
15.673,-281.65
15.698,-18.43
15.825,-574.72
16.127,-247.32
16.647,-56.24
16.645,-216
16.677,-67.192
16.386,60.197
18.843,-161.9
23.47,-372.63
23.433,-209.65
22.441,-392.33
22.191,-396.64
22.6,-152.75
22.857,-253.66
22.578,-421.87
22.305,-387.46
22.779,-503.46
22.301,-361.01
22.383,-244.65
22.232,-521.62
22.516,-247.24
22.291,-440.17
22.381,-450.39
22.921,-363.72
22.805,-476.49
22.829,-415.21
22.81,-452.59
23.087,-243.85
22.798,-34.482
22.78,-74.708
23.106,-386.57
22.818,-358.01
22.844,-237.38
23.093,-353.83
22.82,-397.53
22.852,-277.86
22.822,-379.5
23.099,-236.77
22.722,-230.99
22.18,-417.35
22.23,-430.17
21.556,-323.5
22.015,-325.18
21.875,-142.83
21.836,-236.64
22.779,-220.88
23.25,-343.16
23.589,-331.91
23.219,-332.99
22.918,-195.93
23.037,-132.37
22.632,-226.39
22.68,-438.97
22.78,-501.39
23.04,-613.15
22.83,-451.72
22.824,-193.62
22.915,-292.1
22.794,-527.38
22.792,-503.56
22.997,-464.79
22.35,-326.4
22.318,-324.38
22.342,-384.75
22.604,-287.96
22.17,-382.28
21.789,-312.9
20.541,-296.24
19.251,-444.05
19.816,-520.66
22.649,-485.29
23.29,-339.01
22.682,-340.38
22.837,-137.68
22.754,-360.61
25.05,-303.76
27.552,-500.36
27.863,-548.26
27.869,-390.27
27.854,-392.09
27.859,-316.81
27.822,-387.31
27.464,-447.96
28.156,-460.61
29.199,-333.18
29.214,-434.84
28.868,-452.51
29.177,-119.09
29.581,-481.23
27.922,-489.67
26.017,-443.14
26,-392.29
26.026,-440.62
26.014,-400.32
26.358,-345.12
27.384,-515.2
27.34,-447.91
27.87,-314.4
28.044,-376.8
27.75,-344.32
27.356,-222.5
24.758,-399.1
19.504,-332.59
23.223,-389.06
26.144,-499.65
25.738,-364.49
26.228,-347.42
26.232,-512.74
26.585,-511.69
27.265,-572.8
28.252,-522.17
26.639,-611.46
22.347,-494.65
24.481,-475.22
43.191,-510.05
180,94.345
180,92.178
180,89.408
180,86.63
180,83.555
180,80.298
180,77.013
180,73.638
180,70.054
180,66.198
180,62.222
180,58.189
180,53.911
180,49.512
180,45.081
180,40.529
180,36.052
180,31.543
180,26.732
180,21.601
180,16.421
180,11.461
180,6.5423
180,1.5801
180,-3.2952
180,-8.0907
180,-12.255
180,-14.52
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
143.7,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-15
180,-13.405
180,-9.3253
180,-4.2557
180,0.78951
180,5.7704
180,10.887
180,16.068
180,21.185
180,26.21
180,31.047
180,35.792
180,40.576
180,45.253
180,49.729
180,53.96
180,57.995
180,61.89
180,65.611
179,69.129
18.453,-963.03
18.528,-1304.3
19.427,-382.61
19.472,-628.15
21.507,-506.46
24.153,-668.24
24.142,-538.31
24.134,-462.63
24.149,-560.83
24.472,-628.66
24.228,-606.3
24.581,-474.39
24.726,-630.41
24.728,-827.84
24.742,-934.56
24.738,-782.62
24.689,-673.19
24.625,-633.23
24.372,-944.71
24.292,-311.08
24.321,-704.56
